"project","dependencies","start","end"
mall,com.google.guava-guava-${guava.version},2020-07-11 10:50:32+08:00,2020-08-03 20:53:39+08:00
gpmall-sso,org.springframework.boot-spring-boot-starter-web-None,2019-07-21 19:02:31+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,org.springframework.boot-spring-boot-starter-test-None,2019-07-21 19:02:31+08:00,2019-07-23 10:10:55+08:00
gpmall-commons,junit-junit-4.11,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
gpmall-commons,org.mortbay.jetty-servlet-api-3.0.pre4,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
gpmall-commons,org.apache.commons-commons-lang3-3.8.1,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
gpmall-commons,org.springframework-spring-beans-5.1.8.RELEASE,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
gpmall-commons,org.springframework-spring-web-5.1.8.RELEASE,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
gpmall-commons,org.springframework-spring-webmvc-5.1.8.RELEASE,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-parent,junit-junit-4.11,2019-07-21 19:02:31+08:00,2019-07-21 23:34:04+08:00
commons-support,junit-junit-4.11,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-support,org.springframework-spring-beans-None,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-support,org.springframework-spring-web-None,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-support,org.springframework-spring-webmvc-None,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-support,org.mortbay.jetty-servlet-api-None,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-tool,org.mortbay.jetty-servlet-api-None,2019-07-21 19:02:31+08:00,2019-07-22 10:07:28+08:00
commons-tool,org.apache.commons-commons-lang3-None,2019-07-21 19:02:31+08:00,2020-01-15 12:15:16+08:00
user-provider,org.springframework.boot-spring-boot-starter-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,org.projectlombok-lombok-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,org.springframework.boot-spring-boot-starter-test-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,org.apache.dubbo-dubbo-spring-boot-starter-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,org.apache.dubbo-dubbo-None,2019-07-22 10:07:28+08:00,2019-10-17 10:43:23+08:00
user-provider,org.apache.curator-curator-framework-None,2019-07-22 10:07:28+08:00,2019-07-22 10:07:28+08:00
user-provider,org.apache.curator-curator-recipes-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,org.mybatis.spring.boot-mybatis-spring-boot-starter-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,mysql-mysql-connector-java-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-provider,com.alibaba-druid-None,2019-07-22 10:07:28+08:00,2020-01-15 12:15:16+08:00
user-api,junit-junit-4.11,2019-07-22 10:07:28+08:00,2019-07-22 10:07:28+08:00
commons-parent,org.springframework.boot-spring-boot-dependencies-${spring-boot.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.apache.dubbo-dubbo-dependencies-zookeeper-${dubbo.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.apache.dubbo-dubbo-dependencies-bom-${dubbo.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.apache.dubbo-dubbo-${dubbo.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.apache.dubbo-dubbo-spring-boot-starter-${dubbo-spring-boot.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.mybatis.spring.boot-mybatis-spring-boot-starter-${mybatis.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.alibaba-druid-${druid.version},2019-07-22 10:07:28+08:00,2019-07-22 20:58:57+08:00
user-provider,org.apache.zookeeper-zookeeper-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-provider,com.gpmall.user-user-api-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
user-provider,com.auth0-java-jwt-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-provider,com.alibaba-fastjson-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-provider,org.mapstruct-mapstruct-jdk8-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-provider,org.mapstruct-mapstruct-processor-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-provider,joda-time-joda-time-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-api,com.gpmall.commons-commons-core-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
user-api,org.projectlombok-lombok-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-api,org.apache.commons-commons-lang3-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
user-api,com.gpmall.commons-commons-tool-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
gpmall-sso,org.apache.dubbo-dubbo-spring-boot-starter-None,2019-07-22 20:58:57+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,org.apache.dubbo-dubbo-None,2019-07-22 20:58:57+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,org.apache.zookeeper-zookeeper-None,2019-07-22 20:58:57+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,org.apache.curator-curator-framework-None,2019-07-22 20:58:57+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,org.apache.curator-curator-recipes-None,2019-07-22 20:58:57+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,com.gpmall.user-user-api-${user-service.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.gpmall.commons-commons-support-${gpmall.commons},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.gpmall.commons-commons-core-${gpmall.commons},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.gpmall.commons-commons-tool-${gpmall.commons},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.gpmall.user-user-api-${user-api.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.auth0-java-jwt-${jwt.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,com.alibaba-fastjson-${fastjson.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.mapstruct-mapstruct-jdk8-${mapstruct.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,org.mapstruct-mapstruct-processor-${mapstruct.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-parent,joda-time-joda-time-${joda-time.version},2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,org.springframework-spring-beans-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,org.springframework-spring-web-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,org.springframework-spring-webmvc-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,javax.servlet-javax.servlet-api-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,org.apache.dubbo-dubbo-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,com.gpmall.user-user-api-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-core,com.alibaba-fastjson-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
commons-tool,javax.servlet-javax.servlet-api-None,2019-07-22 20:58:57+08:00,2020-01-15 12:15:16+08:00
